,CPI,Core_CPI,Core_PCE,Retail_Sales,Industrial_Production,Nonfarm_Payrolls
1956-03-01,26.89,,,,21.2997,52294.0
1956-04-01,26.93,,,,21.4612,52375.0
1956-05-01,27.03,,,,21.2728,52506.0
1956-06-01,27.15,,,,21.0843,52586.0
1956-07-01,27.29,,,,20.438,51955.0
1956-08-01,27.31,,,,21.2727,52631.0
1956-09-01,27.35,,,,21.7574,52604.0
1956-10-01,27.51,,,,21.9459,52777.0
1956-11-01,27.51,,,,21.7574,52821.0
1956-12-01,27.63,,,,22.0806,52929.0
1957-01-01,27.67,28.5,,,21.9998,52887.0
1957-02-01,27.8,28.6,,,22.2152,53097.0
1957-03-01,27.86,28.7,,,22.1883,53156.0
1957-04-01,27.93,28.8,,,21.8921,53238.0
1957-05-01,28.0,28.8,,,21.8113,53150.0
1957-06-01,28.11,28.9,,,21.8652,53067.0
1957-07-01,28.19,29.0,,,21.9998,53123.0
1957-08-01,28.28,29.0,,,21.9998,53128.0
1957-09-01,28.32,29.1,,,21.8113,52934.0
1957-10-01,28.32,29.2,,,21.4882,52763.0
1957-11-01,28.41,29.3,,,20.9765,52558.0
1957-12-01,28.47,29.3,,,20.5726,52384.0
1958-01-01,28.64,29.3,,,20.1956,52076.0
1958-02-01,28.7,29.4,,,19.7648,51576.0
1958-03-01,28.87,29.5,,,19.5225,51299.0
1958-04-01,28.94,29.5,,,19.1993,51027.0
1958-05-01,28.94,29.5,,,19.3878,50914.0
1958-06-01,28.91,29.6,,,19.8994,50914.0
1958-07-01,28.89,29.6,,,20.1956,51039.0
1958-08-01,28.94,29.6,,,20.5995,51233.0
1958-09-01,28.91,29.7,,,20.7881,51506.0
1958-10-01,28.91,29.7,,,21.0304,51485.0
1958-11-01,28.95,29.8,,,21.6497,51944.0
1958-12-01,28.97,29.9,,,21.6767,52085.0
1959-01-01,29.01,29.9,15.501,,21.9998,52478.0
1959-02-01,29.0,29.9,15.513,,22.4306,52688.0
1959-03-01,28.97,30.0,15.531,,22.7538,53014.0
1959-04-01,28.98,30.0,15.57,,23.2384,53321.0
1959-05-01,29.04,30.1,15.589,,23.5885,53550.0
1959-06-01,29.11,30.2,15.635,,23.6155,53681.0
1959-07-01,29.15,30.2,15.672,,23.05,53804.0
1959-08-01,29.18,30.2,15.697,,22.2691,53336.0
1959-09-01,29.25,30.3,15.738,,22.2421,53428.0
1959-10-01,29.35,30.4,15.765,,22.0806,53358.0
